Sentence;Is Formal?
Setiap lulusan SMK dapat memilih untuk langsung bekerja atau melanjutkan jenjang pendidikan ke perguruan tinggi.;1
Pak Baroto merupakan pemimpin perusahaan ini dan sudah mengabdi selama hampir seperempat abad.;1
Meskipun sebagian besar gedung di kampus itu tengah direnovasi, namun kegiatan perkuliahan masih tetap berjalan.;1
Sebagian besar mahasiswa yang berkuliah di kampus itu adalah para mahasiswa yang meraih beasiswa bidik misi.;1
Setiap mahasiswa yang hendak mengikuti sidang skripsi, wajib melunasi biaya perkuliahan mereka yang masih menunggak.;1
Setiap orang tua diwajibkan membawa rapot anaknya saat pembagian rapot nanti.;1
Seluruh siswa SDN 07 Jonggol diwajibkan untuk mengikuti upacara bendera setiap hari senin pagi.;1
Elu kemana aja sih, dicari-cari kok nggak ketemu.;0
Gue pergi dulu, ya.;0
Baik-baik aja kan?;0
Jujur saja, waktu itu aku ngerasa canggung banget saat pertama kali di-interview.;0
Akhir-akhir ini kamu kok kelihatan aneh ya?;0
Kamu nggak apa-apa kan?;0
Gimana kabarmu? ;0
Hai bro, lo udah divaksin belum?;0
Siapa bilang ia anak bodoh?;0
Bisakah saya bertanya sesuatu? ;0
Apakah kau punya ide?  ;0
Kau punya waktu sebentar? ;0
Ada ide? ;0
Kok jam segini baru pulang! ;0
Kamu nggak papa kan?;0
Kok gue ngerasa lu itu aneh banget orangnya.;0
Lo bilang apa? ;0
Kita ke taman yuk!;0
Gimana, apa bisa semua selesai hari ini?;0
Bro, jalan-jalan yuk, bosen nih di rumah mulu. ;0
Kok gue deg degan ya dekat dia.;0
Nggak bisa kurang kah harganya?;0
Gimana kalau kita pergi ke pasar sekarang?;0
Gue tahu kalau lu berbohong.;0
Lo kenapa, kok lo keliatan sedih.;0
Bro, mabar yuk!;0
Faisal mengatakan upaya banding oleh Doddy itu mengubah kondisi saat ini. ;1
Semua siswa dipersilakan masuk ke dalam kelas.;1
Saya pergi ke Makassar bersama keluarga. ;1
Seluruh jemaah melaksanakan ibadah salat dengan khusyuk.;1
Mereka wudu terlebih dahulu sebelum melaksanakan salat berjamaah. ;1
Hari ini, Ibu mengambil rapor di sekolah adik.;1
Pembelajaran secara luring masih belum bisa dilakukan karena pandemi yang belum usai. ;1
Tetikus menjadi salah satu piranti penting pada sebuah komputer.;1
Pak Guru memanggil siswa siswinya sesuai urutan abjad untuk mengerjakan soal yang ada di papan tulis.;1
Warga tetap melakukan aktivitas seperti biasa walaupun kemarin kampung mereka dilanda gempa bumi.;1
Kendati sudah diperbolehkan melakukan shalat berjamaah, warga tetap menerapkan shalat dengan menerapkan protokol kesehatan, terutama dengan mengenakan masker.;1
Ribuan orang mulai memadati alun-alun Wates sejak dini hari.  ;1
Mereka tersebar di berbagai sudut alun-alun, hingga beberapa persimpangan jalan yang lokasinya cukup jauh dari alun-alun.;1
Saya ingin mengajak Budi untuk mencoba makanan di rumah makan baru itu. ;1
Setiap perguruan tinggi wajib melaksanakan pengabdian kepada masyarakat. ;1
Padahal, kata Faisal, ia sudah berniat membuka pintu maaf untuk Doddy.  ;1
Gue baru bisa pergi jam delapan ke atas besok.;0
Jadinya, gue ga jadi main biliar hari ini.;0
Pergi ke daerah Bekasi, yuk, bro!;0
Besok ini kita jadi pergi ga nih?;0
Lima tahun pertama, gue pengen balik modal dulu, abis itu baru coba pergi ke luar dulu.;0
Keinginan gue untuk bikin perusahaan jauh lebih besar dibanding jadi karyawan biasa.;0
Gue kemungkinan akan tinggal lama di sana.;0
Emangnya di restoran itu ada diskon besar-besaran?;0
Lu salah hitung uangnya deh kayanya.;0
Gue biasanya makannya bertahap, mulai dari bersih dulu, baru yang kotor.;0
Ga cocok aku sama makanan di restoran itu.;0
Awal-awal gw ngerasa sakit perut, sekarang udah sampe muntah-muntah.;0
Hari ini, lu lagi banyak tugas, ga?;0
Boleh banget, sih, kalau kita mau ketemuan hari ini.;0
Lu bakal sampe kapan tinggal di Jakarta?;0
Coba tanya mereka, deh.;0
Udah lama kita ga ketemu, bro;0
Gue kayanya hari Sabtu ini ga jadi pergi, deh.;0
Lu tau jadwal film di bioskop itu, ga?;0
Semoga lu cepet sembuh ya, bro.;0
Kementerian Kesehatan meminta semua pihak mewaspadai penyebaran virus hepatitis akut pada anak. ;1
Kemenkes meminta semua pihak untuk melakukan pengawasan guna mengantisipasi penyebaran penyakit tersebut. ;1
Secara khusus, dinas kesehatan provinsi, kota/kabupaten diminta melaporkan apabila ada masyarakat yang terindikasi menderita penyakit tersebut. ;1
Sementara itu, kantor kesehatan pelabuhan diharapkan melakukan pengawasan pada warga asing yang baru memasuki Indonesia serta melakukan sosialisasi kesehatan pada masyarakat di berbagai wilayah pintu masuk negara.;1
Laboratorium kesehatan masyarakat diminta untuk berkoordinasi dengan dinas kesehatan, rumah sakit rujukan serta kantor kesehatan pelabuhan dalam melakukan pemantauan berupa pemeriksaan spesimen darah, dan usap tenggorokan dari pasien yang diduga menderita hepatitis akut.;1
Ia mengimbau agar masyarakat segera membawa buah hatinya yang mengalami gejala tersebut ke fasilitas kesehatan terdekat.;1
Selengkapnya, inilah 5 tempat wisata yang bisa dikunjungi saat Anda berada di kota berikut.;1
Gula darah tinggi biasanya berbahaya bila tidak diatasi segera karena dapat menyebabkan sejumlah komplikasi kesehatan, seperti masalah kulit, saraf, hingga gagal ginjal.;1
Penyakit tersebut terjadi ketika kadar glukosa atau gula dalam darah melebihi normal. ;1
Tujuan dari kerja hormon insulin yang dihasilkan pankreas adalah untuk menjaga jumlah glukosa dalam darah dalam kisaran yang sehat.;1
Namun, ketika kadar gula darah terlampau tinggi atau melebihi toleransi, sering kali tubuh merespons secara abnormal. ;1
Jika kadar gula darah Anda menunjukkan lebih dari rekomendasi di atas, beberapa cara dapat dilakukan untuk memenurunkannya ke tingkat normal.  ;1
Tubuh memecah karbohidrat menjadi gula yang digunakan tubuh sebagai energi. ;1
Sementara itu, karbohidrat kompleks terdiri dari 3 atau lebih gula yang dihubungkan bersama.;1
Oleh karena susunan kimiawi dari jenis karbohidrat kompleks itu rumit, tubuh membutuhkan waktu lebih lama untuk memecahnya. ;1
Ia mengaku sempat menimbang perbandingan biaya antara mudik dengan pesawat dan bus. ;1
Selain lebih murah, Ia mengatakan, mudik dengan pesawat tidak membuat lelah karena waktu tempuh yang cepat. ;1
Dua hari menjelang Hari Raya Idul Fitri atau Lebaran, sebagian masyarakat memilih untuk mulai bertolak ke kampung halaman pada hari Sabtu.;1
Dia menargetkan jumlah pengunjung kali ini bisa meningkat jika dibandingkan tahun 2020.;1
Dalam rangka mencapai target tersebut, pihak penyelenggara pun menambah jam operasional di sejumlah wahananya.;1
Gue sih yang penting kerjaan gue bisa membiayai hidup gue.;0
Gue sekarang lagi berusaha nyari kerja.;0
Lu berkunjung ke tempat gw, lah, supaya kita bisa ngobrol.;0
Emang agak susah sih buat ngobrol sama mereka.;0
Gue cek kok ga ada opsi buat ngelakuin hal itu, ya.;0
Maaf, bro, gue lagi makan siang tadi.;0
Tugas ini susah banget deh buat diselesein.;0
Gue udah makan di restoran itu kemaren.;0
Mending kita naik pesawat supaya ga kena macet di jalan.;0
Gue lagi dalam perjalanan ke rumah lu, ya.;0
Tolong kasih tau, ya, kalo udah sampe di depan rumah gue.;0
